34,SSA,NER,36.0,,21.0,,32.0,5,9.31,4.16,21,47,27,41,34,358.96
33,AME,DOM,32.0,24.0,31.0,38.0,42.0,6,6.44,2.63,24,42,29,37,33,6468.47
33,SSA,ETH,23.0,32.0,31.0,38.0,22.0,8,7.72,2.73,22,42,28,38,33,619.17
33,ECA,LWI,36.0,,,,,3,3.79,2.19,29,36,29,37,33,3561.57
33,ECA,MDA,40.0,16.0,31.0,38.0,42.0,8,8.15,2.88,16,42,28,38,33,1848.06
32,AME,ARG,36.0,37.0,31.0,38.0,32.0,7,4.86,1.84,25,38,29,35,32,13467.42
32,ECA,BLR,28.0,52.0,31.0,21.0,32.0,6,10.71,4.37,21,52,25,39,32,5740.46
32,AME,ECU,32.0,30.0,31.0,21.0,32.0,6,7.01,2.86,21,43,27,37,32,6205.06
32,SSA,TGO,32.0,,31.0,,42.0,5,6.8,3.04,23,42,27,37,32,559.64
31,AME,HND,36.0,17.0,41.0,21.0,22.0,7,10.91,4.12,17,45,24,38,31,2528.89
31,SSA,MWI,36.0,27.0,31.0,21.0,32.0,8,6.82,2.41,21,42,27,35,31,371.99
31,SSA,MOZ,28.0,,31.0,38.0,32.0,7,5.22,1.97,22,38,28,34,31,529.24
31,AP,VNM,28.0,36.0,41.0,21.0,22.0,8,7.23,2.56,21,41,27,35,31,2111.14
30,AP,PAK,19.0,26.0,31.0,38.0,42.0,7,8.26,3.12,19,42,25,35,30,1434.7
30,SSA,TZA,32.0,21.0,31.0,38.0,11.0,8,9.86,3.49,11,42,24,36,30,853.34
29,ECA,AZE,23.0,,21.0,38.0,32.0,6,7.97,3.25,21,38,24,34,29,5496.34
29,AME,GUY,,,21.0,,32.0,4,6.02,3.01,21,35,24,34,29,4127.35
29,SSA,SLE,40.0,14.0,31.0,21.0,32.0,8,9.72,3.44,14,40,23,35,29,653.13
28,SSA,GMB,,,31.0,,32.0,5,14.92,6.67,12,49,17,39,28,471.54
28,AME,GTM,32.0,15.0,31.0,21.0,32.0,6,8.47,3.46,15,38,22,34,28,3903.48
28,ECA,KAZ,19.0,28.0,21.0,21.0,11.0,8,13.86,4.9,11,51,20,36,28,10509.98
28,MENA,LBN,19.0,24.0,21.0,38.0,32.0,6,7.88,3.22,19,38,23,33,28,8047.65
28,SSA,MDG,32.0,20.0,31.0,,42.0,7,7.9,2.99,20,42,23,33,28,401.84
28,AP,TLS,,,,,22.0,3,8.96,5.17,22,38,19,37,28,1157.99
27,SSA,CMR,28.0,14.0,31.0,21.0,22.0,8,9.22,3.26,14,45,22,32,27,1217.26
27,AP,NPL,23.0,24.0,,,22.0,5,6.11,2.73,22,35,22,32,27,743.32
27,AME,NIC,28.0,19.0,21.0,21.0,32.0,7,6.61,2.5,19,35,23,31,27,2086.9
27,AME,PRY,36.0,,31.0,21.0,22.0,5,6.36,2.84,21,36,22,32,27,4080.95
27,ECA,UKR,36.0,22.0,21.0,21.0,32.0,8,5.46,1.93,21,36,24,30,27,2004.84
26,SSA,COM,,,,,42.0,3,15.18,8.76,12,42,12,40,26,717.45
26,SSA,NGA,28.0,19.0,21.0,21.0,22.0,8,6.34,2.24,19,35,22,30,26,2671.72
26,ECA,TJK,15.0,,,,11.0,5,16.46,7.36,11,53,14,38,26,925.91
25,AP,BGD,23.0,16.0,50.0,21.0,22.0,7,11.36,4.29,16,50,18,32,25,1211.7
25,SSA,GIN,36.0,,21.0,,22.0,6,7.73,3.16,15,36,20,30,25,531.32
25,SSA,KEN,28.0,18.0,21.0,21.0,11.0,8,8.54,3.02,11,35,20,30,25,1376.71
25,SSA,UGA,32.0,15.0,21.0,38.0,22.0,8,9.02,3.19,12,38,20,30,25,705.29
24,SSA,CAF,28.0,,,,22.0,4,2.87,1.44,22,28,22,26,24,323.2
23,SSA,COG,19.0,,21.0,21.0,22.0,6,10.07,4.11,12,42,16,30,23,1851.2
22,SSA,TCD,19.0,,,,22.0,5,5.24,2.34,16,30,18,26,22,775.7
22,AP,MMR,19.0,19.0,21.0,21.0,11.0,7,7.47,2.82,11,35,17,27,22,1161.49
21,SSA,BDI,19.0,,,,11.0,5,6.57,2.94,11,28,16,26,21,277.07
21,AP,KHM,15.0,10.0,,21.0,22.0,7,10.24,3.87,10,35,15,27,21,1158.69
21,SSA,ZWE,15.0,23.0,12.0,38.0,22.0,8,12.85,4.54,0,38,14,28,21,924.14
19,ECA,UZB,19.0,29.0,,21.0,11.0,6,6.65,2.71,11,29,15,23,19,2132.07
18,ECA,TKM,19.0,,,21.0,11.0,4,4.76,2.38,11,21,14,22,18,6672.48
18,MENA,YEM,28.0,,12.0,21.0,22.0,6,6.52,2.66,12,28,14,22,18,1406.29
17,AME,HTI,15.0,,12.0,,11.0,5,6.12,2.74,11,24,12,22,17,818.34
17,SSA,GNB,,,12.0,,22.0,4,5.26,2.63,12,22,13,21,17,572.99
16,MENA,IRQ,19.0,,12.0,21.0,11.0,4,4.99,2.5,11,21,12,20,16,4943.76
15,SSA,AGO,15.0,,12.0,21.0,11.0,5,4.02,1.8,11,21,12,18,15,4101.47
15,SSA,,15.0,,,,,3,2.52,1.45,12,17,13,17,15,730.58
12,MENA,SDN,15.0,,2.0,21.0,11.0,6,8.92,3.64,0,21,6,18,12,2414.72
11,AP,AFG,19.0,2.0,,,11.0,4,6.98,3.49,2,19,5,17,11,594.32
8,SSA,SOM,6.0,,12.0,,11.0,4,4.65,2.33,2,12,4,12,8,549.27
