Rank,CPI2015,Country,Region,wbcode,World Economic Forum EOS,Bertelsmann Foundation TI,African Dev Bank,IMD World Competitiveness Yearbook,Bertelsmann Foundation SGI,World Justice Project ROL,PRS International Country Risk Guide,Economist Intelligence Unit,IHS Global Insight,PERC Asia Risk Guide,Freedom House NIT,Number of Sources,Std Deviation of Sources,Standard Error,Minimum,Maximum,Lower CI,Upper CI,CPI 2015,GDP per capita
69,41,Bulgaria,WE/EU,BGR,38.0,53.0,,32.0,49.0,32.0,41.0,38.0,42.0,,47.0,9,7.28,2.43,32,53,37,45,41,6993.48
69,41,Jamaica,AME,JAM,42.0,36.0,,,,48.0,41.0,38.0,42.0,,,6,4.12,1.68,36,48,38,44,41,5232.02
71,40,Serbia,ECA,SCG,37.0,58.0,,,,27.0,31.0,38.0,42.0,,47.0,7,10.33,3.9,27,58,34,46,40,5235.14
72,39,El Salvador,AME,SLV,37.0,45.0,,,,29.0,41.0,38.0,42.0,,,6,5.54,2.26,29,45,35,43,39,4219.35
72,39,Mongolia,AP,MNG,42.0,36.0,,37.0,,35.0,31.0,38.0,42.0,,,8,4.99,1.76,31,47,36,42,39,3967.83
72,39,Panama,AME,PAN,41.0,36.0,,,,34.0,31.0,38.0,52.0,,,6,7.37,3.01,31,52,34,44,39,13268.11
72,39,Trinidad and Tobago,AME,TTO,34.0,,,,,,31.0,38.0,52.0,,,4,9.29,4.65,31,52,31,47,39,17321.88
76,38,Bosnia and Herzegovina,ECA,BIH,32.0,40.0,,,,34.0,,38.0,42.0,,42.0,6,4.2,1.71,32,42,35,41,38,4249.33
76,38,Brazil,AME,BRA,25.0,62.0,,25.0,,34.0,31.0,38.0,52.0,,,7,13.99,5.29,25,62,29,47,38,8677.77
76,38,Burkina Faso,SSA,BFA,29.0,32.0,45.0,,,28.0,41.0,,42.0,,,7,7.87,2.97,28,47,33,43,38,589.77
76,38,India,AP,IND,54.0,45.0,,35.0,,25.0,41.0,38.0,32.0,33.0,,8,8.89,3.14,25,54,33,43,38,1593.26
76,38,Thailand,AP,THA,43.0,40.0,,38.0,,26.0,31.0,38.0,42.0,42.0,,8,6.0,2.12,26,43,35,41,38,5814.77
76,38,Tunisia,MENA,TUN,42.0,28.0,,,,38.0,41.0,38.0,42.0,,,6,5.31,2.17,28,42,34,42,38,3872.51
76,38,Zambia,SSA,ZMB,46.0,28.0,50.0,,,36.0,41.0,38.0,32.0,,,8,7.23,2.56,28,50,34,42,38,1304.88
83,37,Benin,SSA,BEN,25.0,32.0,47.0,,,,,,32.0,,,5,9.91,4.43,25,47,30,44,37,762.05
83,37,China,AP,CHN,49.0,36.0,,39.0,,28.0,31.0,38.0,32.0,41.0,,8,6.63,2.34,28,49,33,41,37,8069.21
